task,case,engine,time,p1,encoding
task1_single_qubit_baseline,baseline,qutip,133.0,0.6698910192049394,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,134.0,0.6726304924251679,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,135.0,0.6753472313089692,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,136.0,0.6780414245399075,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,137.0,0.6807132592535411,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,138.0,0.6833629210528703,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,139.0,0.6859905940237842,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,140.0,0.6885964607505068,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,141.0,0.6911807023310452,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,142.0,0.6937434983926355,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,143.0,0.6962850268151798,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,144.0,0.6988054634962038,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,145.0,0.7013049834367104,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,146.0,0.7037837602272555,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,147.0,0.7062419660339856,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,148.0,0.708679771612826,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,149.0,0.7110973463236681,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,150.0,0.7134948581445564,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,151.0,0.7158724736858765,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,152.0,0.7182303582045425,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,153.0,0.720568675618184,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,154.0,0.7228875885193344,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,155.0,0.7251872581896173,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,156.0,0.7274678446139349,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,157.0,0.7297295064409209,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,158.0,0.7319723998102184,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,159.0,0.7341966799979142,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,160.0,0.7364025014320535,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,161.0,0.7385900172620684,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,162.0,0.7407593793707639,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,163.0,0.7429107383863051,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,164.0,0.7450442436942046,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,165.0,0.747160043449309,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,166.0,0.7492582845877859,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,167.0,0.751339112839111,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,168.0,0.7534026727380553,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,169.0,0.7554491076366717,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,170.0,0.757478559716282,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,171.0,0.759491169999464,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,172.0,0.7614870782042316,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,173.0,0.7634664226062382,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,174.0,0.7654293406522271,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,175.0,0.767375968678649,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,176.0,0.7693064419059965,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,177.0,0.7712208944500916,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,178.0,0.7731194593333721,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,179.0,0.7750022684961799,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,180.0,0.7768694528080469,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,181.0,0.7787211420789827,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,182.0,0.7805574650707615,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,183.0,0.7823785495082096,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,184.0,0.784184522090492,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,185.0,0.7859755085023997,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,186.0,0.7877516333794263,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,187.0,0.7895130192122972,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,188.0,0.7912597878549732,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,189.0,0.7929920605695562,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,190.0,0.7947099576108368,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,191.0,0.7964135982355249,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,192.0,0.7981031007114782,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,193.0,0.799778582326933,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,194.0,0.8014401593997336,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,195.0,0.8030879472865615,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,196.0,0.8047220603921662,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,197.0,0.8063426121785939,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,198.0,0.8079497151744179,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,199.0,0.8095434809839679,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,200.0,0.8111240202965598,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,201.0,0.8126914428619142,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,202.0,0.8142458574640942,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,203.0,0.8157873720646852,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,204.0,0.8173160937475905,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,205.0,0.8188321287240702,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,206.0,0.8203355823418168,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,207.0,0.8218265590940309,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,208.0,0.8233051626284963,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,209.0,0.8247714957566555,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,210.0,0.826225660462686,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,211.0,0.8276677579125743,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,212.0,0.8290978884631928,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,213.0,0.8305161516713742,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,214.0,0.8319226463029878,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,215.0,0.8333174703013223,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,216.0,0.8347007197362735,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,217.0,0.8360724902232415,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,218.0,0.8374328769961537,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,219.0,0.8387819744959346,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,220.0,0.840119876377606,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,221.0,0.8414466755173844,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,222.0,0.8427624640197806,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,223.0,0.8440673332246986,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,224.0,0.8453613737145339,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,225.0,0.8466446753212725,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,226.0,0.84791732713359,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,227.0,0.8491794175039499,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,228.0,0.8504310340557026,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,229.0,0.8516722636901846,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,230.0,0.8529031925938166,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,231.0,0.8541239062452028,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,232.0,0.8553344894222297,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,233.0,0.8565350262091643,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,234.0,0.8577256000037539,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,235.0,0.8589062935243239,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,236.0,0.8600771888168773,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,237.0,0.8612383672621934,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,238.0,0.862389909582926,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,239.0,0.8635318958507032,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,240.0,0.8646644054932252,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,241.0,0.8657875172999832,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,242.0,0.8669013085791647,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,243.0,0.8680058559701095,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,244.0,0.8691012361252999,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,245.0,0.870187525068984,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,246.0,0.8712647982036672,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,247.0,0.8723331303166021,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,248.0,0.8733925955862798,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,249.0,0.8744432675889205,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,250.0,0.8754852193049641,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,251.0,0.8765185231255609,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,252.0,0.8775432508590624,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,253.0,0.8785594737375121,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,254.0,0.8795672624231358,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,255.0,0.8805666870148335,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,256.0,0.8815578170546681,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,257.0,0.8825407215343584,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,258.0,0.8835154689017678,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,259.0,0.8844821270673965,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,260.0,0.8854407634108714,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,261.0,0.886391444787437,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,262.0,0.887334237534447,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,263.0,0.8882692074778527,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,264.0,0.8891964199386965,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,265.0,0.8901159397396008,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,266.0,0.8910278312112594,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,267.0,0.8919321581989279,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,268.0,0.8928289824315243,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,269.0,0.8937183636447288,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,270.0,0.8946003635458292,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,271.0,0.8954750433839579,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,272.0,0.8963424639112388,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,273.0,0.8972026853881524,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,274.0,0.8980557675889056,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,275.0,0.8989017698067999,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,276.0,0.8997407508595979,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,277.0,0.9005727690948935,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,278.0,0.9013978823954781,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,279.0,0.9022161481847101,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,280.0,0.9030276234318814,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,281.0,0.9038323646575877,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,282.0,0.9046304279390938,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,283.0,0.9054218689157046,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,284.0,0.9062067427941306,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,285.0,0.9069851043538579,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,286.0,0.9077570079418299,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,287.0,0.9085225061805479,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,288.0,0.9092816514085887,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,289.0,0.9100344963294775,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,290.0,0.9107810932164132,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,291.0,0.911521493916799,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,292.0,0.9122557498567769,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,293.0,0.9129839120457569,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,294.0,0.9137060310809505,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,295.0,0.9144221571519027,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,296.0,0.9151323400450229,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,297.0,0.9158366291481168,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,298.0,0.9165350734549201,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,299.0,0.9172277215696277,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,300.0,0.9179146217114278,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,301.0,0.9185958217190322,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,302.0,0.9192713690552101,per_qubit_excited_probability
task1_single_qubit_baseline,baseline,qutip,303.0,0.9199413108113175,per_qubit_excited_probability
